Level	TopPosID	MapName	MapID	WorldX	WorldY	MapX	MapY
Khu vùc ®¼ng cÊp	Tra cøu ®Þa ®iÓm	Tªn b¶n ®å	Tra cøu b¶n ®å	Täa ®é X thÕ giíi	Täa ®é Y thÕ giíi	Täa ®é X b¶n ®å	Täa ®é Y b¶n ®å
30	1001	B¨ng T©m ®éng_1	315	1633	3026	204	189
30	1002	B¨ng T©m ®éng_1	315	1663	3114	207	194
30	1003	B¨ng T©m ®éng_1	315	1806	3087	225	192
30	1004	B¨ng T©m ®éng_1	315	1750	2848	218	177
30	1005	B¨ng T©m ®éng_1	315	1852	2819	231	176
30	1006	B¨ng T©m ®éng_2	316	1584	3347	198	209
30	1007	B¨ng T©m ®éng_2	316	1637	3163	204	197
30	1008	B¨ng T©m ®éng_2	316	1606	3043	200	190
30	1009	B¨ng T©m ®éng_2	316	1662	3025	207	188
30	1010	B¨ng T©m ®éng_2	316	1803	2922	225	182
30	1011	Tróc Ty ®éng_1	317	1559	3188	194	199
30	1012	Tróc Ty ®éng_1	317	1469	3072	183	191
30	1013	Tróc Ty ®éng_1	317	1339	2885	167	178
30	1014	Tróc Ty ®éng_1	317	1475	2829	184	176
30	1015	Tróc Ty ®éng_1	317	1552	2792	194	174
30	1016	Tróc Ty ®éng-2	318	1307	3179	163	198
30	1017	Tróc Ty ®éng-2	318	1409	3157	176	197
30	1018	Tróc Ty ®éng-2	318	1311	2758	163	172
30	1019	Tróc Ty ®éng-2	318	1453	2759	181	172
30	1020	Tróc Ty ®éng-2	318	1578	2963	197	185
30	1021	Phong Ma ®éng-1	319	2019	2935	252	183
30	1022	Phong Ma ®éng-1	319	1885	2947	235	184
30	1023	Phong Ma ®éng-1	319	1856	3101	231	193
30	1024	Phong Ma ®éng-1	319	1616	2992	202	186
30	1025	Phong Ma ®éng-1	319	1637	3099	204	193
30	1026	Phong Ma ®éng-2	320	1777	3190	222	199
30	1027	Phong Ma ®éng-2	320	1860	3085	232	192
30	1028	Phong Ma ®éng-2	320	1621	2855	202	178
30	1029	Phong Ma ®éng-2	320	1765	2879	220	179
30	1030	Phong Ma ®éng-2	320	2002	2923	250	182
30	1031	Kim Quang ®éng	321	1766	3624	220	226
30	1032	Kim Quang ®éng	321	1908	3479	238	217
30	1033	Kim Quang ®éng	321	1889	3351	236	209
30	1034	Kim Quang ®éng	321	1783	3364	222	210
30	1035	Kim Quang ®éng	321	1624	3473	203	217
30	1036	Kim Quang ®éng	321	1609	3302	201	206
30	1037	Kim Quang ®éng	321	1700	3179	212	198
30	1038	Kim Quang ®éng	321	1777	3178	222	198
30	1039	ThÊt Tinh ®éng-1	324	1604	2949	200	184
30	1040	ThÊt Tinh ®éng-1	324	1878	2866	234	179
30	1041	ThÊt Tinh ®éng-1	324	1834	3010	229	188
30	1042	ThÊt Tinh ®éng-1	324	1853	2420	231	202
30	1043	ThÊt Tinh ®éng-1	324	1610	3230	201	201
30	1044	ThÊt Tinh ®éng-2	325	1440	3184	180	198
30	1045	ThÊt Tinh ®éng-2	325	1302	2967	162	185
30	1046	ThÊt Tinh ®éng-2	325	1337	3178	167	198
30	1047	ThÊt Tinh ®éng-2	325	1242	3494	155	218
30	1048	ThÊt Tinh ®éng-2	325	1869	3508	233	219
30	1049	D­¬ng Trung ®éng-1	210	1454	3249	181	202
30	1050	D­¬ng Trung ®éng-1	210	1527	2903	190	181
30	1051	D­¬ng Trung ®éng-1	210	1421	2905	177	181
30	1052	D­¬ng Trung ®éng-1	210	1364	2953	170	184
